from,to,type
PA4462,PA2113,1
PA4462,PA2446,1
PA4462,PA2445,1
PA4462,PA2458,1
PA4462,PA2490,-1
PA4462,PA2654,1
PA4462,PA2653,1
PA4462,PA2747,1
PA4462,PA2751,1
PA4462,PA2755,1
PA4462,PA2915,-1
PA4462,PA3007,-1
PA4462,PA3008,-1
PA4462,PA3006,-1
PA4462,PA3038,-1
PA4462,PA3082,1
PA4462,PA3116,-1
PA4462,PA3250,-1
PA4462,PA3350,1
PA4462,PA3349,1
PA4462,PA3361,1
PA4462,PA3435,-1
PA4462,PA3462,-1
PA4462,PA3662,1
PA4462,PA3755,-1
PA4462,PA4013,-1
PA4462,PA4022,1
PA4462,PA4023,1
PA4462,PA4139,1
PA4462,PA4147,-1
PA4462,PA4317,1
PA4462,PA4462,1
PA4462,PA4496,1
PA4462,PA4523,-1
PA4462,PA4525,1
PA4462,PA4558,1
PA4462,PA4563,1
PA4462,PA4601,1
PA4462,PA4683,1
PA4462,PA4739,1
PA4462,PA4893,-1
PA4462,PA4913,-1
PA4462,PA5021,-1
PA4462,PA5100,-1
PA4462,PA5125,-1
PA4462,PA5138,1
PA4462,PA5152,1
PA4462,PA5153,1
PA4462,PA5167,1
PA4462,PA5168,1
PA4462,PA5169,1
PA4462,PA5170,-1
PA4462,PA5171,1
PA4462,PA5368,-1
PA4462,PA5427,-1
PA4462,PA5476,-1
PA4462,PA5482,1
PA4462,PA5481,1
PA4462,PA5530,1
PA4462,PA5561,-1
PA4462,PA0616,-1
PA4462,PA0630,-1
PA4462,PA0637,-1
PA4462,PA1665,1
PA4462,PA2343,-1
PA4462,PA5104,-1
PA4462,PA5175,-1
PA1431,PA4210,-1
PA1431,PA2193,-1
PA1431,PA4209,-1
PA1431,PA2228,-1
PA1431,PA2587,1
PA1431,PA2588,1
PA1431,PA1432,-1
PA1431,PA0322,0
PA1431,PA1899,1
PA0905,PA0081,0
PA0905,PA0763,0
PA0905,PA4296,0
PA0905,rsmX,0
PA0905,PA0527.1,0
PA0905,PA3621.1,0
PA0905,PA0082,0
PA0905,PA4492,0
PA0905,PA0277,0
PA0905,PA2541,0
PA0905,PA3732,0
PA0905,PA2193,0
PA5183.1,PA0081,-1
PA5183.1,PA0082,-1
PA5183.1,PA0763,1
PA5183.1,PA4296,-1
PA5183.1,PA4726.11,1
PA5183.1,rsmX,-1
PA5183.1,PA0527.1,-1
PA5183.1,PA3621.1,-1
PA5183.1,PA3064,-1
PA5183.1,PA4625,-1
PA2273,PA2273,1
PA2273,PA2274,1
PA2273,PA3718,1
PA2273,PA4205,1
PA2273,PA4206,1
PA2273,PA4207,1
PA2273,PA4208,1
PA2227,PA2228,-1
PA2227,PA2227,-1
PA2227,PA2588,1
PA2227,PA2587,1
PA2227,PA1432,1
PA2227,PA1713,1
PA2227,PA4600,1
PA2591,PA1898,-1
PA2591,PA4227,0
PA2591,PA4206,0
PA2591,PA3874,0
