id,name,expression,weight
PA2189,PA2189,1,5
PA2191,exoY,1,5
PA2193,hcnA,1,5
PA2227,VqsM,-1,10
PA2228,PA2228,-1,5
PA2231,pslA,1,5
PA2242,pslL,1,5
PA2273,SoxR,1,10
PA2274,PA2274,1,5
PA2281,PA2281,1,5
PA2282,PA2282,1,5
PA2283,PA2283,-1,5
PA2285,PA2285,-1,5
PA2286,PA2286,-1,5
PA2305,ambB,1,5
PA2343,mtlY,-1,5
PA2426,pvdS,1,5
PA2445,gcvP2,1,5
PA2446,gcvH2,1,5
PA2458,PA2458,1,5
PA2490,PA2490,-1,5
PA2491,mexS,1,5
PA2492,MexT,1,10
PA2493,mexE,1,5
PA2494,mexF,1,5
PA2495,oprN,1,5
PA2502,PA2502,-1,5
PA2522,czcC,0,5
PA2523,czcR,1,5
PA2538,PA2538,1,5
PA2541,PA2541,0,5
PA2567,PA2567,1,5
PA2570,lecA,1,5
PA2585,uvrC,1,5
PA2586,GacA,1,10
PA2587,pqsH,1,5
PA2588,CdpR,1,10
PA2591,VqsR,1,10
PA2592,PA2592,1,5
PA2593,QteE,1,10
PA2611,cysG,0,5
PA2612,serS,0,5
PA2653,PA2653,1,5
PA2654,PA2654,1,5
PA2685,PA2685,-1,5
PA2742,rpmI,-1,5
PA2743,infC,-1,5
PA2747,PA2747,1,5
PA2751,PA2751,1,5
PA2755,eco,1,5
PA2763,PA2763,1,5
PA2774,PA2774,-1,5
PA2813,PA2813,1,5
PA2867,PA2867,1,5
PA2894,PA2894,1,5
PA2915,PA2915,-1,5
PA2939,PA2939,1,5
PA2967,fabG,-1,5
PA3006,psrA,-1,5
PA3007,lexA,-1,5
PA3008,PA3008,-1,5
PA3032,snr1,-1,5
PA3038,opdQ,-1,5
PA3064,pelA,-1,5
PA3071,PA3071,-1,5
PA3074,PA3074,-1,5
PA3082,gbt,1,5
PA3096,xcpY,-1,5
PA3097,xcpX,-1,5
PA3098,xcpW,-1,5
PA3099,xcpV,-1,5
PA3100,xcpU,-1,5
PA3101,xcpT,-1,5
PA3102,xcpS,1,5
PA3103,xcpR,1,5
PA3105,xcpQ,1,5
PA3116,PA3116,-1,5
PA3117,asd,1,5
PA3149,wbpH,0,5
PA3159,wbpA,0,5
PA3177,PA3177,-1,5
PA3229,PA3229,1,5
PA3250,PA3250,-1,5
PA3276,PA3276,-1,5
PA3280,oprO,1,5
PA3305.1,phrS,1,5
PA3326,clpP2,1,5
PA3349,PA3349,1,5
PA3350,PA3350,1,5
PA3353,PA3353,1,5
PA3361,lecB,1,5
PA3366.1,amiL,-1,5
PA3367,PA3367,1,5
PA3384,phnC,1,5
PA3385,AmrZ,1,10
PA3412,PA3412,1,5
PA3413,PA3413,1,5
PA3435,PA3435,1,5
PA3436,PA3436,1,5
PA3462,PA3462,-1,5
PA3472,PA3472,-1,5
PA3476,rhlI,1,5
PA3477,RhlR,1,10
